gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
12,Sat,2023-10-21,15:00:00,Hull City,1.2,1,Southampton,1.5,2,21524,MKM Stadium,Geoff Eltringham
12,Sat,2023-10-21,15:00:00,Blackburn,1.1,1,Cardiff City,0.7,0,13572,Ewood Park,Robert Madley
12,Sat,2023-10-21,15:00:00,Swansea City,0.7,1,Leicester City,2.9,3,18509,Swansea.com Stadium,Anthony Backhouse
12,Sat,2023-10-21,15:00:00,Huddersfield,1.0,2,QPR,1.3,1,18010,The John Smith's Stadium,Gavin Ward
13,Tue,2023-10-24,19:45:00,Norwich City,0.5,1,Middlesbrough,1.3,2,25585,Carrow Road,Simon Hooper
13,Tue,2023-10-24,19:45:00,Huddersfield,1.6,0,Cardiff City,1.4,4,16780,The John Smith's Stadium,Anthony Backhouse
13,Tue,2023-10-24,19:45:00,Swansea City,0.7,0,Watford,0.7,1,14698,Swansea.com Stadium,Andrew Kitchen
13,Tue,2023-10-24,19:45:00,Millwall,1.8,1,Blackburn,1.1,2,13834,The Den,Andrew Davies
13,Tue,2023-10-24,20:00:00,Leicester City,1.3,1,Sunderland,1.0,0,30951,King Power Stadium,Keith Stroud
13,Tue,2023-10-24,20:00:00,West Brom,2.9,2,QPR,0.2,0,21749,The Hawthorns,James Bell
13,Wed,2023-10-25,19:45:00,Bristol City,0.8,0,Ipswich Town,1.7,1,22784,Ashton Gate Stadium,Joshua Smith
13,Wed,2023-10-25,19:45:00,Preston,0.8,2,Southampton,0.8,2,15346,Deepdale Stadium,Jeremy Simpson
13,Wed,2023-10-25,19:45:00,Plymouth Argyle,1.0,3,Sheffield Weds,1.1,0,16225,Home Park,James Linington
13,Wed,2023-10-25,19:45:00,Birmingham City,0.6,0,Hull City,1.2,2,19530,St Andrew's Trillion Trophy Stadium,John Busby
13,Wed,2023-10-25,19:45:00,Rotherham Utd,1.4,2,Coventry City,2.5,0,10553,AESSEAL New York Stadium,Lewis Smith
13,Wed,2023-10-25,20:00:00,Stoke City,0.8,1,Leeds United,1.8,0,25871,Bet365 Stadium,Paul Tierney
14,Sat,2023-10-28,12:30:00,Leeds United,1.7,4,Huddersfield,0.9,1,36813,Elland Road,James Bell
14,Sat,2023-10-28,12:30:00,Southampton,2.3,3,Birmingham City,0.6,1,28924,St. Mary's Stadium,David Webb
14,Sat,2023-10-28,15:00:00,Ipswich Town,2.0,3,Plymouth Argyle,1.6,2,29027,Portman Road Stadium,Gavin Ward
14,Sat,2023-10-28,15:00:00,Sunderland,2.6,3,Norwich City,0.7,1,39871,Stadium of Light,Anthony Backhouse
14,Sat,2023-10-28,15:00:00,Watford,2.1,2,Millwall,0.9,2,18620,Vicarage Road Stadium,Keith Stroud
14,Sat,2023-10-28,15:00:00,Cardiff City,1.0,2,Bristol City,0.8,0,25803,Cardiff City Stadium,Darren England
14,Sat,2023-10-28,15:00:00,QPR,0.4,1,Leicester City,1.0,2,17385,MATRADE Loftus Road Stadium,Leigh Doughty
14,Sat,2023-10-28,15:00:00,Hull City,0.5,1,Preston,0.4,0,24267,MKM Stadium,Lewis Smith
